anio,edad,sexo,cantidad_personas,condicion_asist_escolar
1991,14.0,v,72,Ignorado
1991,15.0,m,18931,Asiste
1991,15.0,m,57,Nunca asistió
1991,15.0,m,2131,No asiste pero asistió
1991,15.0,m,50,Ignorado
1991,15.0,v,18121,Asiste
1991,15.0,v,49,Nunca asistió
1991,15.0,v,2182,No asiste pero asistió
1991,15.0,v,66,Ignorado
1991,16.0,m,17599,Asiste
1991,16.0,m,48,Nunca asistió
1991,16.0,m,3156,No asiste pero asistió
1991,16.0,m,69,Ignorado
1991,16.0,v,17197,Asiste
1991,16.0,v,48,Nunca asistió
1991,16.0,v,3246,No asiste pero asistió
1991,16.0,v,67,Ignorado
1991,17.0,m,16534,Asiste
1991,17.0,m,45,Nunca asistió
1991,17.0,m,4370,No asiste pero asistió
1991,17.0,m,67,Ignorado
1991,17.0,v,15503,Asiste
1991,17.0,v,31,Nunca asistió
1991,17.0,v,4239,No asiste pero asistió
1991,17.0,v,49,Ignorado
1991,18.0,m,15623,Asiste
1991,18.0,m,70,Nunca asistió
1991,18.0,m,7621,No asiste pero asistió
1991,18.0,m,90,Ignorado
1991,18.0,v,14273,Asiste
1991,18.0,v,68,Nunca asistió
1991,18.0,v,7065,No asiste pero asistió
1991,18.0,v,85,Ignorado
1991,19.0,m,14169,Asiste
1991,19.0,m,65,Nunca asistió
1991,19.0,m,8860,No asiste pero asistió
1991,19.0,m,89,Ignorado
1991,19.0,v,12524,Asiste
1991,19.0,v,66,Nunca asistió
1991,19.0,v,8683,No asiste pero asistió
1991,19.0,v,63,Ignorado
1991,20.0,m,12599,Asiste
1991,20.0,m,70,Nunca asistió
1991,20.0,m,10355,No asiste pero asistió
1991,20.0,m,111,Ignorado
1991,20.0,v,11244,Asiste
1991,20.0,v,87,Nunca asistió
1991,20.0,v,9959,No asiste pero asistió
1991,20.0,v,102,Ignorado
1991,21.0,m,11479,Asiste
1991,21.0,m,77,Nunca asistió
1991,21.0,m,11640,No asiste pero asistió
1991,21.0,m,89,Ignorado
1991,21.0,v,10440,Asiste
1991,21.0,v,76,Nunca asistió
1991,21.0,v,10761,No asiste pero asistió
1991,21.0,v,96,Ignorado
1991,22.0,m,9470,Asiste
1991,22.0,m,79,Nunca asistió
1991,22.0,m,12467,No asiste pero asistió
1991,22.0,m,87,Ignorado
1991,22.0,v,9167,Asiste
1991,22.0,v,86,Nunca asistió
1991,22.0,v,11287,No asiste pero asistió
1991,22.0,v,65,Ignorado
1991,23.0,m,8150,Asiste
1991,23.0,m,74,Nunca asistió
1991,23.0,m,14260,No asiste pero asistió
1991,23.0,m,87,Ignorado
1991,23.0,v,8475,Asiste
1991,23.0,v,71,Nunca asistió
1991,23.0,v,12220,No asiste pero asistió
1991,23.0,v,88,Ignorado
1991,24.0,m,6233,Asiste
1991,24.0,m,85,Nunca asistió
1991,24.0,m,15501,No asiste pero asistió
1991,24.0,m,101,Ignorado
1991,24.0,v,6969,Asiste
1991,24.0,v,84,Nunca asistió
1991,24.0,v,13143,No asiste pero asistió
1991,24.0,v,94,Ignorado
2001,3.0,m,9700,Asiste
2001,3.0,m,4981,Nunca asistió
2001,3.0,m,325,No asiste pero asistió
2001,3.0,m,-,Ignorado
2001,3.0,v,9978,Asiste
2001,3.0,v,5301,Nunca asistió
2001,3.0,v,316,No asiste pero asistió
2001,3.0,v,-,Ignorado
2001,4.0,m,12737,Asiste
2001,4.0,m,1953,Nunca asistió
2001,4.0,m,285,No asiste pero asistió
2001,4.0,m,-,Ignorado
2001,4.0,v,13088,Asiste
2001,4.0,v,2024,Nunca asistió
2001,4.0,v,261,No asiste pero asistió
2001,4.0,v,-,Ignorado
2001,5.0,m,14467,Asiste
2001,5.0,m,677,Nunca asistió
2001,5.0,m,152,No asiste pero asistió
